time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-09-24T11:54:05.314Z,38.2465,-118.7447,3.2,1.6,ml,15,89.34,0.372,0.2194,nn,nn00823318,2021-09-24T11:57:21.649Z,"32 km SSW of Hawthorne, Nevada",earthquake,,7.8,0.21,7,automatic,nn,nn
2021-09-24T11:52:31.401Z,51.1957,-179.0286,39.64,6.1,mww,,52,0.639,0.92,us,us7000fe1w,2021-09-24T18:02:37.893Z,"182 km WSW of Adak, Alaska",earthquake,5.8,4.4,0.044,49,reviewed,us,us
2021-09-24T11:48:12.657Z,38.2398,-118.7424,3.3,1.4,ml,17,95.16,0.187,0.2405,nn,nn00823314,2021-09-24T11:51:22.122Z,"33 km SSW of Hawthorne, Nevada",earthquake,,8.7,0.19,7,automatic,nn,nn
2021-09-24T11:44:05.915Z,60.2438,-141.6775,4.8,1.6,ml,,,,0.78,ak,ak021c9ravgv,2021-09-24T11:54:58.504Z,"133 km NW of Yakutat, Alaska",earthquake,,1.1,,,automatic,ak,ak
2021-09-24T11:42:19.730Z,37.4731667,-118.7816667,4.45,1.2,md,23,130,0.09894,0.04,nc,nc73628811,2021-09-24T16:46:49.387Z,"13km SW of Toms Place, CA",earthquake,0.33,1.46,0.177,22,reviewed,nc,nc
2021-09-24T11:35:16.004Z,2.8614,127.2309,75.64,4.8,mb,,105,2.08,0.68,us,us7000fe1s,2021-09-24T11:52:41.040Z,"152 km NW of Tobelo, Indonesia",earthquake,9.4,8.2,0.068,66,reviewed,us,us
2021-09-24T11:35:11.145Z,63.5985,-147.1252,74.3,2.1,ml,,,,0.74,ak,ak021c9r8yef,2021-09-24T11:45:37.252Z,"84 km SW of Delta Junction, Alaska",earthquake,,0.5,,,automatic,ak,ak
2021-09-24T11:33:20.557Z,-23.0618,-179.4605,547.32,4.1,mb,,159,5.78,0.65,us,us7000fe1t,2021-09-24T12:31:54.040Z,"south of the Fiji Islands",earthquake,7.7,12.3,0.111,23,reviewed,us,us
2021-09-24T11:32:42.560Z,37.8553333,-112.5425,9.41,2.54,ml,21,71,0.4377,0.23,uu,uu60459462,2021-09-24T12:27:52.602Z,"10 km WNW of Panguitch, Utah",earthquake,0.41,1.67,0.197,14,reviewed,uu,uu
2021-09-24T11:25:08.580Z,63.221,-148.1653,71.9,2.2,ml,,,,0.79,ak,ak021c9r6t2l,2021-09-24T11:29:35.156Z,"43 km ESE of Cantwell, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-09-24T11:19:07.087Z,38.1935,-117.7778,1.4,1,ml,12,93.83,0.042,0.3131,nn,nn00823311,2021-09-24T11:22:29.540Z,"36 km SE of Mina, Nevada",earthquake,,0.8,0.46,9,automatic,nn,nn
2021-09-24T11:10:47.195Z,61.5998,-150.0636,27,2,ml,,,,0.43,ak,ak021c9r3obj,2021-09-24T11:21:14.012Z,"10 km NNW of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-09-24T11:10:28.288Z,11.9666,-87.763,12.15,4.4,mb,,123,1.025,0.63,us,us7000fe1h,2021-09-24T11:26:52.040Z,"85 km SW of Corinto, Nicaragua",earthquake,5.6,7.5,0.045,142,reviewed,us,us
2021-09-24T11:10:03.362Z,64.6794,-146.848,0,1.7,ml,,,,0.97,ak,ak021c9r3kwx,2021-09-24T11:14:33.017Z,"10 km E of Eielson Air Force Base, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-09-24T11:01:57.630Z,38.8336678,-122.8073349,2.22,1.18,md,27,49,0.01048,0.02,nc,nc73628806,2021-09-24T11:05:16.273Z,"7km W of Cobb, CA",earthquake,0.2,0.38,0.1,5,automatic,nc,nc
2021-09-24T10:29:50.480Z,32.9193333,-116.246,6.42,2,ml,89,53,0.05971,0.23,ci,ci39817927,2021-09-24T17:35:16.950Z,"27km SSW of Ocotillo Wells, CA",earthquake,0.14,0.54,0.211,23,reviewed,ci,ci
2021-09-24T10:22:25.750Z,33.3915,-115.7785,2.71,1.05,ml,35,60,0.0542,0.18,ci,ci39817919,2021-09-24T17:17:35.744Z,"6km NW of Bombay Beach, CA",earthquake,0.18,0.34,0.084,14,reviewed,ci,ci
2021-09-24T10:11:20.298Z,38.1494,-118.2465,1.8,1.7,ml,25,78.7,0.153,0.2784,nn,nn00823305,2021-09-24T10:14:42.961Z,"29 km SSW of Mina, Nevada",earthquake,,5.1,0.33,12,automatic,nn,nn
